Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY
Date,,,,,,,,,,,,,,,,,,,,
2023-12-12,707.1229248046875,43.45797348022461,392.8267822265625,449.8463134765625,707.5350758327821,43.852684869037354,392.9450185979474,449.9432481380579,698.0454197022599,43.05339214222901,388.6292106206721,446.45380738636266,701.588085696692,43.773744096987876,389.7623492734944,447.4521722811235,880100,31452200,39221200,68327600
2023-12-13,721.5783081054688,43.98097229003906,397.8224792480469,456.0497741699219,724.9051058418324,44.12899142843519,398.4333872596561,456.3017983886153,707.2996481368227,42.75736196785886,392.99430327502,449.86571511357835,711.1367680926568,43.4974501312734,393.7628698170913,450.22434675999136,1037200,35216100,55408100,93278000
2023-12-14,739.6549682617188,44.582908630371094,397.4775695800781,457.51336669921875,741.8924200708981,46.44793008966711,400.34489155392424,459.1805422525537,730.4204107666468,44.05991423037119,394.47225506750283,454.83812394192887,730.4204107666468,44.41515336581766,399.04426150867425,457.9883080715214,1446600,70620800,55447800,119026000
2023-12-15,738.9188232421875,45.549957275390625,399.3990173339844,456.7601013183594,746.1513826880735,46.64528830971267,400.58144122653687,458.0934340813363,735.6410812085874,45.06643137433316,397.6549706592437,454.9109942306135,739.6548372419477,45.33286355275876,398.25601558992724,456.9158196636758,1507000,84583400,62896600,141553700
2023-12-18,728.2221069335938,45.08616256713867,401.9147033691406,459.32940673828125,733.8550581720477,45.619026865577,402.8131603407083,460.31236579340026,722.5891556951399,44.799998049191395,399.4661904298243,457.30512766166345,733.4330839740669,45.54008609781714,399.7919899279148,458.36593103885957,808900,27895700,46610000,70375300
2023-12-19,730.8324584960938,46.04335021972656,403.96832275390625,462.1225891113281,731.1857907502696,46.06308635526833,404.0867952971535,462.2004631426164,726.7206509719942,44.908546893913886,402.1812915891065,459.7966147557437,729.1445617470388,44.99735762171038,402.36888315936517,459.8744590867912,571000,35358800,35711900,55761800
2023-12-20,716.0042724609375,45.155242919921875,397.9654846191406,455.7187805175781,735.8766519629088,46.32951851625015,405.26173067173573,463.1541458673366,716.0042724609375,45.096038277608145,397.78777579004617,455.2905624937439,725.8079700983936,46.023614061925066,403.1686352259005,461.26610177140515,1007600,38159100,54042400,102921000
2023-12-21,741.185791015625,46.457801818847656,402.5959167480469,460.0398864746094,741.8236339177236,46.497270325887236,402.96124723744623,460.31238616429494,729.6843137028388,45.411809214497815,399.3378015199468,456.28325178797456,730.2927471895059,45.865729041858266,401.8949341636447,458.7065536605437,868200,28320500,45568900,86667500
2023-12-22,738.4968872070312,47.365638732910156,403.1982421875,460.96441650390625,741.7255138898004,47.52352404478188,404.76806372836126,462.6480933014032,735.1406200689818,46.57621217355154,401.3223565171198,459.06666039020405,738.8011039467634,46.625550627708435,403.810370446538,461.1687838422537,597300,30095700,34314000,67160400
2023-12-26,748.45751953125,49.83259963989258,405.6665344238281,462.9108581542969,751.5193329114162,49.852335774632216,406.3378989802427,463.8159432234597,736.0139836355548,48.06625510566455,403.9584747640765,461.2953136791012,736.1120948745844,48.27347887400653,404.05721193539733,461.373187704544,509000,60287400,22722500,55387000
